iter	RMSE
0	16.64759736
1	16.57435435
2	16.51326594
3	16.45949822
4	16.39240421
5	16.34057147
6	16.28884082
7	16.22768798
8	16.18365036
9	16.12853184
10	16.06045225
11	15.99348174
12	15.95362737
13	15.91550716
14	15.87226006
15	15.83564603
16	15.79557108
17	15.75493778
18	15.71179216
19	15.68099401
20	15.6477389
21	15.61041947
22	15.58140622
23	15.54829807
24	15.50599524
25	15.47786942
26	15.44170865
27	15.41656436
28	15.38931691
29	15.37130073
30	15.35118027
31	15.31699682
32	15.29085261
33	15.2731395
34	15.24554897
35	15.22864913
36	15.2015053
37	15.17556735
38	15.15589326
39	15.13776221
40	15.11588124
41	15.09124791
42	15.06538876
43	15.04565753
44	15.02809036
45	15.00682962
46	14.98247353
47	14.96117365
48	14.9367542
49	14.92086946
50	14.89935548
51	14.87790905
52	14.85062664
53	14.82046889
54	14.79828088
55	14.78096215
56	14.76008054
57	14.74261117
58	14.72486109
59	14.70793515
60	14.69668347
61	14.6730383
62	14.65568242
63	14.63790275
64	14.62536174
65	14.60608068
66	14.59682945
67	14.5890859
68	14.57760171
69	14.56594786
70	14.54625013
71	14.52541357
72	14.51506893
73	14.50193686
74	14.49231747
75	14.47529114
76	14.46943328
77	14.45418031
78	14.43679634
79	14.42587542
80	14.41223186
81	14.4024936
82	14.37645486
83	14.36491764
84	14.34568588
85	14.33804573
86	14.33272325
87	14.32275099
88	14.30960709
89	14.2979
90	14.28827856
91	14.27239351
92	14.25675021
93	14.24864288
94	14.23938205
95	14.2275564
96	14.21388272
97	14.20245167
98	14.19424395
99	14.18309779
100	14.17164997
101	14.15835425
102	14.13861629
103	14.12256937
104	14.10942083
105	14.08910992
106	14.07831701
107	14.07283878
108	14.0647903
109	14.04767526
110	14.03989371
111	14.03176369
112	14.01777531
113	14.00776315
114	13.987234
115	13.98060652
116	13.9666206
117	13.94607136
118	13.93152154
119	13.91225331
120	13.89527132
121	13.88707563
122	13.87503245
123	13.85751355
124	13.84535747
125	13.82904029
126	13.81603766
127	13.80987589
128	13.80117219
129	13.79283045
130	13.78106723
131	13.77117811
132	13.75908639
133	13.74214068
134	13.72962399
135	13.71322384
136	13.69770734
137	13.69128079
138	13.67846639
139	13.66653541
140	13.65692621
141	13.64901609
142	13.63660584
143	13.62252003
144	13.60775448
145	13.59824004
146	13.58298997
147	13.5668552
148	13.55170909
149	13.54528045
150	13.53187517
151	13.52556461
152	13.51631354
153	13.50074594
154	13.48840536
155	13.47934323
156	13.46433328
157	13.44823166
158	13.44063606
159	13.430572
160	13.41500871
161	13.39784329
162	13.38817065
163	13.37500728
164	13.35556063
165	13.35037648
166	13.34430775
167	13.33330175
168	13.32599797
169	13.30223784
170	13.28799356
171	13.27445058
172	13.26547249
173	13.25558211
174	13.24893601
175	13.24184213
176	13.23387099
177	13.22055346
178	13.20858967
179	13.18920816
180	13.17305856
181	13.16475708
182	13.14504131
183	13.13019429
184	13.11886536
185	13.10263646
186	13.09220909
187	13.07367483
188	13.06492107
189	13.05384009
190	13.04987655
191	13.04314916
192	13.02993178
193	13.00991722
194	13.00121837
195	12.98446344
196	12.96083791
197	12.94582525
198	12.93707358
199	12.92996749
200	12.91771662
201	12.90631909
202	12.89015444
203	12.87476925
204	12.86729749
205	12.85568254
206	12.84915786
207	12.84371437
208	12.83259286
209	12.82100383
210	12.81229332
211	12.80149972
212	12.7873579
213	12.77369609
214	12.76668351
215	12.75402394
216	12.75044366
217	12.73999209
218	12.72748765
219	12.71735668
220	12.71258978
221	12.70159068
222	12.6976926
223	12.68770599
224	12.6798821
225	12.66974691
226	12.65283568
227	12.62983692
228	12.62452692
229	12.61059691
230	12.60483148
231	12.60080122
232	12.58283957
233	12.56740341
234	12.56183114
235	12.53257827
236	12.52392899
237	12.5176339
238	12.51315063
239	12.50920408
240	12.50517641
241	12.49321652
242	12.47762035
243	12.4679349
244	12.45934635
245	12.44914326
246	12.43053671
247	12.42284686
248	12.41622754
249	12.4105979
250	12.40658705
251	12.39340542
252	12.38978515
253	12.38062176
254	12.37653471
255	12.35901385
256	12.35669974
257	12.35176977
258	12.34490105
259	12.33571603
260	12.33231365
261	12.32890905
262	12.31853916
263	12.31089687
264	12.3074667
265	12.29769582
266	12.28313977
267	12.27989965
268	12.27163675
269	12.26498059
270	12.25431995
271	12.23814169
272	12.23026665
273	12.22715019
274	12.20704808
275	12.19833885
276	12.19222581
277	12.18869423
278	12.17899002
279	12.17631928
280	12.17328818
281	12.15481267
282	12.14633357
283	12.1387844
284	12.12481979
285	12.12022441
286	12.11279658
287	12.10313998
288	12.08959584
289	12.08598722
290	12.06892872
291	12.05420624
292	12.04345754
293	12.03201964
294	12.02758835
295	12.02509625
296	12.01191344
297	12.00506744
298	11.98935145
299	11.97997887
300	11.97639199
301	11.96185161
302	11.95482133
303	11.95240515
304	11.94951186
305	11.94717556
306	11.94513474
307	11.92175698
308	11.91237005
309	11.9025703
310	11.9001466
311	11.88470651
312	11.87173889
313	11.86218134
314	11.85224667
315	11.84876359
316	11.83750319
317	11.82444677
318	11.81890614
319	11.81364893
320	11.79477562
321	11.78161058
322	11.76087349
323	11.74847333
324	11.72359845
325	11.69786166
326	11.68798861
327	11.67674857
328	11.6651472
329	11.66243958
330	11.65948567
331	11.65094686
332	11.64663425
333	11.6316692
334	11.62093693
335	11.61814857
336	11.60514622
337	11.59466236
338	11.57943998
339	11.57634355
340	11.57453977
341	11.56633108
342	11.55672117
343	11.55147067
344	11.5407959
345	11.52490134
346	11.52188476
347	11.51202479
348	11.50323133
349	11.48728131
350	11.47538117
351	11.46901985
352	11.45494024
353	11.45159834
354	11.43905376
355	11.42766985
356	11.41670405
357	11.39645616
358	11.3915564
359	11.38345379
360	11.37524552
361	11.35400927
362	11.34280943
363	11.32591051
364	11.31233886
365	11.3096552
366	11.30065562
367	11.29757432
368	11.28755469
369	11.27501319
370	11.26055841
371	11.25799274
372	11.25193115
373	11.24091146
374	11.2261251
375	11.22012001
376	11.21670437
377	11.21431051
378	11.19728845
379	11.18673094
380	11.16870991
381	11.165977
382	11.14880897
383	11.13897933
384	11.13038071
385	11.11851972
386	11.10509703
387	11.09527251
